"Decembrio, Pier Candido",7483748
"Del Monte, Pietro",79117385
"Della Casa, Giovanni",71528487
"Dell'Abbaco, Paolo",63011711
"Dethick, William",83583524
Dionysius Exiguus,124601720
"Donatus, Aelius",37012417
"Donatus, Tiberius Claudius",59888289
"Duns Scotus, John",120697851
"Durand, Guillaume",44320252
"Eiximenis, Francesc",87739349
"Elizabeth I, Queen of England",97107753
"Epiphanius, Saint, Bishop of Constantia in Cyprus",13651211
"Eustathius, Archbishop of Thessalonica",38317659
"Felton, John",42190295
"Festus, Sextus Pompeius",89123645
"Fibonacci, Leonardo",108619361
"Ficino, Marsilio",120697563
"Filelfo, Francesco",5000255
"Fillastre, Guillaume",14916847
"Florus, Lucius Annaeus",18636145
"Forman, Simon",64901269
"Frezzi, Federico",24747090
"Froissart, Jean",100178580
"Frontinus, Sextus Julius",12349897
"Gabriele, Trifone",44535321
"Gellius, Aulus",100198334
"Gemistus Plethon, George",100222474
Gentilis Fulginas,98417711
"Gerson, Jean",100160310
"Giustiniani, Leonardo",89090417
"Glover, Robert",6025445
"Gower, John",120695167
"Gregoras, Nicephorus",64014428
"Gregory I, Pope",100184667
"Gregory IX, Pope",91013639
"Gregory XIII, Pope",49209402
"Gritti, Andrea",74651632
"Guicciardini, Francesco",89549325
Guido d'Arezzo,129494006
Guilelmus Peraldus,41951136
Guillaume de Deguileville,307466774
Guillaume de Nangis,61569360
Guillelmus Brito,194808299
"Harvey, William",29584187
"Haymo, Bishop of Halberstadt",49149353
"Hegesippus, Saint",76658868
"Helias, Petrus",9917150
"Henry V, King of England",284333410
"Henry VI, King of England",96926832
"Henry VII, King of England",268547728
"Henry VIII, King of England",172419710
"Herolt, Johann",66575485
Hervaeus Natalis,34569102
"Heytesbury, William",91729017
"Higden, Ranulf",90633533
"Hilary, Saint, Bishop of Poitiers",89595978
"Hildebert, Archbishop of Tours",44340682
"Hilton, Walter",2597190
"Hincmar, Archbishop of Reims",41865587
"Hippolytus, Antipope",88873163
"Hoccleve, Thomas",9902409
"Holkot, Robertus",9841479
"Honorius III, Pope",41848773
"Houssemaine, Nicolas de",43253087
Ibn Gabirol,100186412
"Ibn Tibbon, Jacob ben Machir",314797824
"Ibn Tibbon, Shmuel",97166726
"Ignatius, Saint, Bishop of Antioch",267432724
"Infessura, Stefano",5743509
"Innocent IV, Pope",100162520
"Irenaeus, Saint, Bishop of Lyon",70051641
"Ivo, Saint, Bishop of Chartres",84971682
"James I, King of England",88905668
Johannes von Gmunden,310718775
"John Chrysostom, Saint",204677613
John Dumbleton,66210930
"John XXI, Pope",84559964
"Joseph ben Tanchum, Hayerushalmi",170883872
"Josephus, Flavius",22143666
"Jungius, Joachim",17236626
"Justinian I, Emperor of the East",88881722
"Justinus, Marcus Junianus",24616821
"Kimhi, David",100213323
"La Marche, Olivier de",76407605
"Lambarde, William",73893248
"Langland, William",61560236
"Lascaris, Constantine",22298682
"Latini, Brunetto",19680057
