id,name,viaf_id,comment,authors_count,artists_count,scribes_count,source_agents_count,sale_agents_count,provenance_count,is_artist,is_author,is_provenance_agent,is_scribe,reviewed,created_by,created_at,updated_by,updated_at
9918,scholefield-,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9917,Donaldson,34605975,,0,0,0,1,0,66,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9916,JERMYN-cambridge,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9915,earl of clarendon,121291266,,0,0,0,1,0,6,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9914,rawlinson,37700054,,0,0,0,1,0,658,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9913,"gale,s-london",,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9912,MANGIN-dublin,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9911,R.OKES-,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9910,LINDSAY-,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9909,littleport-ELY,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9908,ASH-LONDON,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9907,ASH LONDON,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9906,SCOLLICK-london,,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),""
9905,ABINGDON,138484018,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9904,vab daalen-Hague,,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),""
9903,c. bateman,233657342,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9902,Berkshire,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9901,wheatley &adlard,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9900,Lunn,8193209,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9899,Goodwin-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9898,Nicol,22162960,,0,0,0,2,0,28,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9897,Lyson-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9896,Philipe-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9895,North-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9894,Dowdeswell-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9893,Beloe-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9892,Duke of Devonshire,60324510,,0,0,0,2,1,12,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9891,Preston-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9890,Harding & Lepard,158736998,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9889,Eddowes-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9888,Bennet-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9887,Clarke-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9886,Marsh-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9885,Baker-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9884,Cheltenham,,,0,0,0,3,0,22,false,false,true,false,true,(none),"",(none),""
9883,Jeffery & Son-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9882,Dallas-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9881,Hollis & Hollis,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9880,Tooke-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9879,Robson?,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9878,Morley-Colchester,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9877,Nichols-London,,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),""
9876,Glasgow,157362130,,0,0,0,4,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9875,Upton-Glasgow,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
